FOKONTANY_;COMMUNE_NA
Ambolokohy;Sampona
Mandrapasy Centre;Sampona
Elanja Centre;Sampona
Mandrapasy Amborignabo;Sampona
Elanja Androandria;Sampona
Ambalasoaray;Sandrandahy
Zafindriantsambo II;Sandrandahy
Zafindriamahatsiahy;Sandrandahy
Nandriana;Sandrandahy
Anjoma;Sandrandahy
Ambohimanarivo;Sandrandahy
Fiadanana;Sandrandahy
Ankafotra;Sandrandahy
Befasy;Sandravinany
Fenoarivo;Sandravinany
Mahavoriky;Sandravinany
Sandravinany II;Sandravinany
Sandravinany I;Sandravinany
Tsihary;Sandravinany
Ambalona;Sandrohy
Ambatobe;Andranobory
Ampasindava Marosivaky;Andranobory
Andranobory Centre;Andranobory
Andranobory I;Andranobory
Andemby;Andranobory
Ankazomalany;Andranobory
Andoharano;Andranobory
Belay;Andranobory
Morafeno Sud;Andranobory
Andranofanjava;Andranofanjava
Ironona;Andranofanjava
Antsahafabe;Andranofanjava
Ankiabe;Andranofanjava
Manondro;Andranofanjava
Bemanevikabe;Andranofanjava
Mahatazantsoa;Andranofasika
Ambalambakisiny;Andranofasika
Andranofasika;Andranofasika
Bemailaka;Andranofasika
Ambongamaranitra;Andranofasika
Belalanda;Andranofasika
Ambohimoko;Andranofotsy
Ankazomandroko;Andranofotsy
Antsangambato;Andranofotsy
Ivato;Andranofotsy
Ankazotrano;Andranohinaly
Ankiliberengy;Andranohinaly
Andranohinaly;Andranohinaly
Masiakampy;Andranohinaly
Antsakoamileka;Andranohinaly
Befoly Tsimiola;Andranohinaly
Ampamata;Andranohinaly
Mahasoa Analatelo;Andranolalina
Antanandava;Andranolalina
Ampatranila;Andranolalina
Haramanga;Andranolalina
Ampatramary;Andranolalina
Ambararata;Andranolalina
Andranolalina;Andranolalina
Ranotsara;Andranolava
Vanaoky;Andranolava
Ankilibory II;Andranolava
Ambia Betsileo;Andranolava
Iaborano;Andranolava
Andranolava Betsileo;Andranolava
Ankabokara;Andranolava
Agnalatelo;Andranolava
Ampandrabe II;Andranolava
Lambonakandro I;Andranolava
Berobontsy;Andranolava
Andranovory Tanambao;Andranolava
Ambatolahy Soaserana;Andranomafana
Bedo Maintirano;Andranomafana
Mariany;Andranomafana
Andranomafana;Andranomafana
Morarano;Andranomafana
Mahazoarivo;Andranomafana
Tamotamo;Andranomafana
Ambatolahy Sarodrano;Andranomafana
Ampilanonana;Andranomafana
Hiambanony;Andranomafana
Manataokafa;Andranomafana
Tsarazafy;Andranomafana
Anjazafotsy;Andranomafana
Andranomafana;Andranomafana
Andranomamy;Andranomamy
Antsohikely;Andranomamy
Maizimazava;Andranomamy
Antsakoamilaika;Andranomamy
Ambohitromby;Andranomamy
Miarinarivo;Andranomamy
Ankaraobato;Andranomamy
Andranovaky;Andranomamy
Tsinjorano I;Andranomamy
Ambohimanatrika;Andranomamy
Fandrindrano Manaovasoa;Andranomanelatra
Ambolotsararano;Andranomanelatra
Morarano;Andranomanelatra
Andranomanelatra;Andranomanelatra
Miarinarivo Bemololo;Andranomanelatra
Tsaravavaka;Andranomanelatra
Fiadanana;Andranomanelatra
Tsarazazamandimby;Andranomanelatra
Anosimboahangy;Andranomanelatra
Ambario;Andranomangatsiaka
Andoharano;Andranomangatsiaka
Fenoambony;Andranomangatsiaka
Bevaro Bas;Andranomangatsiaka
Kiliarivo;Andranomangatsiaka
Andranomangatsiaka;Andranomangatsiaka
Befotaka;Andranomangatsiaka
Mitsinjo;Andranomangatsiaka
Fenoanivo;Andranomangatsiaka
Manantsa;Andranomangatsiaka
Tanambao II;Andranomangatsiaka
Mibay;Andranomangatsiaka
Besatra;Andranomangatsiaka
Analamanitsy;Andranomangatsiaka
Mahabo Sud;Andranomangatsiaka
Andoharano;Andranomavo
Amboloando;Andranomavo
Andranomavo;Andranomavo
Ambanjabe;Andranomavo
Ambalamanga;Andranomavo
Komihevitsy;Andranomavo
Andrafiabe;Andranomavo
Soromaray;Andranomavo
Andrafiamajera;Andranomavo
Tsaboahitsy;Andranomavo
Antsirabe;Andranomavo
Ankazomborona;Andranomavo
Ambonara;Andranomavo
Ambodifano;Andranomavo
Behena;Andranomavo
Amboromihanto;Andranomavo
Befatika;Andranomavo
Tsarabanja;Andranomavo
Vilanandro;Andranomavo
Namoroka;Andranomavo
Andranomavo;Andranomavo
Ambohinihaonana;Andranomavo
Ambalatany;Andranomavo
Antapadrano;Andranomavo
Maroandambana;Andranomeva
Anjialava;Andranomeva
Marovitsika Bas;Andranomeva
Andranomeva;Andranomeva
Ambohimandrirana;Andranomeva
Andranotsiritra;Andranomeva
Tsaratanana II;Andranomeva
Maroaboaly;Andranomeva
Ampondrabe;Andranomeva
Marovitsika Haut;Andranomeva
Angirony;Andranomeva
Ambalamaivanaty;Andranomeva
Ambiahely;Andranomeva
Anahidrano I;Andranomeva
Ambohitraivo;Andranomiady
Ambohitratsimo;Andranomiady
Andranomiady;Andranomiady
Ambatoatsipy;Andranomiady
Ambatonilaisoa;Andranomiady
Marokona II;Andranomiditra
Soanierana;Andranomiditra
Andreana Vohibato;Andranomiditra
Tanitsihomehy;Andranomiditra
Manatenasoa I;Andranomiditra
Ikongo Ouest;Andranomiditra
Vohibato Seranana;Andranomiditra
Antarambiby;Andranomiditra
Marokona I;Andranomiditra
Manatenasoa II;Andranomiditra
Ranomena;Andranomiditra
Marokona IIi;Andranomiditra
Mamarina Tsileondahy;Andranomiditra
Tsianihy;Andranopasy
Ankoba;Andranopasy
Andranopasy I;Andranopasy
Ambatobe;Andranopasy
Nosibe;Andranopasy
Befamonty;Andranopasy
Antaly;Andranopasy
Andranopasy II;Andranopasy
Nivakiambakoly;Andranovao
Ankitara;Andranovao
Andranovao;Andranovao
Manapape;Andranovao
Ambalamanga;Andranovao
Morarano Ouest;Andranovelona
Antanetibe Ouest;Andranovelona
Andranodobo;Andranovelona
Avaratsena;Andranovelona
Ambodivona;Andranovelona
Sahanamalona;Andranovelona
Bemasoandro;Andranovelona
Andranovelona;Andranovelona
Andidy;Andranovelona
Antsisikala;Andranovondronina
Izengitry;Andranovondronina
Andranovondronina;Andranovondronina
Bedarabe;Andranovondronina
Andohazompona;Andranovondronina
Vohilava;Andranovondronina
Anjiabe;Andranovondronina
Ambodiranomaitso;Andranovorivato
Ambohibolamena;Andranovorivato
Sangasanga;Andranovorivato
Ankaritsinanana;Andranovorivato
Sahavanana;Andranovorivato
Ambalavohimay;Andranovorivato
Andrainjato;Andranovorivato
Vinanitsareana;Andranovorivato
Andranovorivato;Andranovorivato
Ambatosoa I;Andranovorivato
Fenoarivo;Andranovorivato
Sahanavelo;Andranovorivato
Vohihambana Somaina;Andranovorivato
Somaina II;Andranovorivato
Mahasoa;Andranovorivato
Ambatosoa II;Andranovorivato
Ankilimaro;Andranovory
Anjakiriky Lavasadia;Andranovory
Anjambaky;Andranovory
Andamoty Mahasoa;Andranovory
Anjampirahalahy;Andranovory
Antsanira;Andranovory
Anjaposa;Andranovory
Andaromihomaky;Andranovory
Satramafana;Andranovory
Sakavilany;Andranovory
Andalanabo;Andranovory
Ankilimalangy;Andranovory
Ankatsadava;Andranovory
Ankoratsaka;Andranovory
Ambarimanitra;Andranovory
Fotivolo;Andranovory
Anjaraday;Andranovory
Andranovory Centre;Andranovory
Ampandramalaza;Andrea
Tetezavato;Andrea
Mandroatsy Bara;Andrea
Antaboaboaky;Andrea
Andrea;Andrea
Ampandra;Andrea
Antanambao Bas;Andreba
Ankorefo;Andreba
Ampondralava;Andreba
Andreba;Andreba
Betainomby;Andreba
Ambalihabe;Andreba
Tsilokivary;Andreba
Ankozany;Andreba
Ambodihasina;Andrebakely Nord
Andrebakely Nord;Andrebakely Nord
Ampisarahana;Andrebakely Nord
Ambalahazo;Andrebakely Nord
Anosibe Ambohibarikely;4e Arrondissement
Andrefan'ambohijanahary IIIG-I;4e Arrondissement
Mahamasina Atsimo;4e Arrondissement
Tsimialonjafy;4e Arrondissement
Ambanin'ampamarinana;4e Arrondissement
Ankadilalana;4e Arrondissement
Fiadanana IIil;4e Arrondissement
Soanierana IIIJ;4e Arrondissement
Ankaditoho Marohoho;4e Arrondissement
Mananjara;4e Arrondissement
Madera Namontana;4e Arrondissement
Soanierana III-I Cite Gare;4e Arrondissement
Fiadanana IIin;4e Arrondissement
Bedala Maroviro;Maroviro
Ankazolahy;Marovitsika Sud
Antokoboritelo;Marovitsika Sud
Mikaikarivo;Marovitsika Sud
Belenalena Atsimo;Marovitsika Sud
Marovitsika Sud;Marovitsika Sud
Mahasoa;Marovitsika Sud
Amboraka;Marovitsika Sud
Ambanjabe;Marovoay Banlieue
Maromiandra;Marovoay Banlieue
